City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,tromso,69.6496,18.957,0.01,86,75,2.57,NO,1698710538
345,la'ie,21.6477,-157.9253,30.98,66,8,3.7,US,1698710675
346,yoichi,43.2039,140.7703,12.38,70,92,2.89,JP,1698710675
347,onega,63.9061,38.1404,-5.37,94,98,1.83,RU,1698710676
348,roccella ionica,38.322,16.4009,21.36,86,50,5.72,IT,1698710676
349,machilipatnam,16.1667,81.1333,24.44,83,70,4.05,IN,1698710677
350,posto fiscal rolim de moura,-13.0833,-62.2667,30.78,44,78,1.51,BR,1698710461
351,zaozersk,69.4005,32.4476,-7.1,93,99,3.51,RU,1698710677
352,savanna-la-mar,18.219,-78.1332,28.97,84,42,1.55,JM,1698710677
353,champerico,14.3,-91.9167,25.3,79,100,3.45,GT,1698710678
354,mossel bay,-34.1831,22.146,9.96,77,0,8.59,ZA,1698710678
355,chibougamau,49.9168,-74.3659,-5.21,93,0,2.57,CA,1698710560
356,tagta,41.6504,59.9164,6.97,87,1,4.12,TM,1698710679
357,illizi,26.4833,8.4667,22.89,16,0,4.77,DZ,1698710679
358,jijiga,9.35,42.8,17.75,82,99,1.4,ET,1698710679
359,daru,-9.0763,143.2092,27.01,74,97,6.32,PG,1698710680
360,ghadamis,30.1337,9.5007,25.01,19,52,4.89,LY,1698710680
361,simanggang,1.2472,111.4528,25.01,94,100,0.0,MY,1698710680
362,willard,41.0531,-82.7263,4.82,73,76,2.7,US,1698710681
